iter	Logloss
0	0.6465642373
1	0.6052275146
2	0.5666901224
3	0.5343243639
4	0.5040586505
5	0.4786475843
6	0.4549726964
7	0.4328492504
8	0.4141876656
9	0.3975554949
10	0.383715646
11	0.3718156382
12	0.3602356502
13	0.3493212551
14	0.3396032231
15	0.3307683654
16	0.3242624881
17	0.3179099358
18	0.3121133474
19	0.3067735941
20	0.3015417453
21	0.2977178122
22	0.2940109806
23	0.2905573324
24	0.2873058449
25	0.2846900272
26	0.2820243179
27	0.279684263
28	0.2777595631
29	0.2762730615
30	0.2742823491
31	0.2727239769
32	0.2711776382
33	0.2699947673
34	0.2686892054
35	0.2673638747
36	0.266316212
37	0.2653862667
38	0.2644115238
39	0.2635857351
40	0.2627242291
41	0.2620701803
42	0.2613800041
43	0.2607285881
44	0.260156553
45	0.259610459
46	0.2590945701
47	0.2585536579
48	0.2581326787
49	0.2576201012
50	0.2572374821
51	0.2569338827
52	0.2566559086
53	0.2563439202
54	0.2560422259
55	0.2557648898
56	0.2555013243
57	0.2551596039
58	0.2549108787
59	0.25461338
60	0.2543305635
61	0.2540822425
62	0.2538830319
63	0.2536603442
64	0.2534760676
65	0.2532887264
66	0.2531054418
67	0.2529057063
68	0.2527715424
69	0.2525539205
70	0.2523525085
71	0.2521787016
72	0.251987668
73	0.2518399871
74	0.251723314
75	0.2516245248
76	0.2514841403
77	0.251365452
78	0.2512457234
79	0.2511102686
80	0.2509919937
81	0.2508828873
82	0.250752993
83	0.2506179628
84	0.2505224145
85	0.2503742986
86	0.2502719427
87	0.2501670937
88	0.250045298
89	0.2499356484
90	0.2498396794
91	0.2497378295
92	0.24962719
93	0.2495367163
94	0.2494687811
95	0.249369272
96	0.2492713981
97	0.249167227
98	0.2490344102
99	0.2489710604
100	0.2488977277
101	0.2487952946
102	0.2487215895
103	0.2486209539
104	0.2485195275
105	0.2484504643
106	0.2483691217
107	0.2482812717
108	0.2481933801
109	0.2481215878
110	0.2480114444
111	0.2479381845
112	0.2478860334
113	0.2477879403
114	0.2477122461
115	0.2476480608
116	0.2475890434
117	0.2475100559
118	0.2474310158
119	0.247353511
120	0.2472575396
121	0.2472186064
122	0.2471313683
123	0.2470669718
124	0.2469917815
125	0.2469121368
126	0.2468362372
127	0.2467921184
128	0.2467029245
129	0.2466604248
130	0.2466024802
131	0.2465493547
132	0.2464704287
133	0.2463908058
134	0.2463392222
135	0.2462780979
136	0.2462285127
137	0.246170802
138	0.2460901712
139	0.2460470641
140	0.2459937139
141	0.245932681
142	0.2458634765
143	0.2458254537
144	0.245778345
145	0.2457183196
146	0.2456661117
147	0.2456153859
148	0.2455689404
149	0.2455280684
150	0.2454822965
151	0.2454305112
152	0.2453960964
153	0.2453352508
154	0.2452727539
155	0.2452142536
156	0.2451772954
157	0.2451246923
158	0.2450857977
159	0.2450430813
160	0.2449980227
161	0.244961846
162	0.2449154712
163	0.2448563449
164	0.2448170922
165	0.2447758754
166	0.2447365199
167	0.2447047492
168	0.2446518333
169	0.2446124891
170	0.2445702483
171	0.2445117412
172	0.2444587371
173	0.2444250604
174	0.2443940066
175	0.244353111
176	0.2443229537
177	0.2442890708
178	0.2442597065
179	0.2442367393
180	0.2442077689
181	0.2441809722
182	0.2441556178
183	0.2441263041
184	0.2440721953
185	0.2440471748
186	0.2440216176
187	0.2439832643
188	0.2439461846
189	0.2438948911
190	0.2438642594
191	0.2438366116
192	0.2438159746
193	0.2437848436
194	0.2437538765
195	0.2437200034
196	0.2436824281
197	0.2436462309
198	0.2436105888
199	0.2435705121
200	0.2435310272
201	0.2434966315
202	0.2434700192
203	0.2434220236
204	0.2433950206
205	0.2433254977
206	0.2433007274
207	0.2432703279
208	0.2432320555
209	0.2432051144
210	0.2431608595
211	0.2431388545
212	0.2431116698
213	0.2430889434
214	0.2430497957
215	0.2429877625
216	0.2429454794
217	0.242895528
218	0.2428488725
219	0.2428105122
220	0.2427905725
221	0.242755238
222	0.2427279238
223	0.2427100735
224	0.2426806412
225	0.2426379046
226	0.2426088135
227	0.2425829652
228	0.2425582528
229	0.2425303623
